,id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,notional,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm
33,b9b135f7-d948-42a3-922d-028a338f86cd,f2bfb291-4afb-4a79-9a12-4a0ec318ff26,2022-03-02T16:44:56.203477Z,2022-03-02T16:44:56.370162Z,2022-03-02T16:44:56.202796Z,2022-03-02T16:44:56.366262Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,218,218,90.29,,market,market,sell,day,,,filled,False,,,,
34,85d70772-679c-48f7-ac54-f015ee1b39f7,358c8088-ae09-4cc0-a8ca-59a3e9c5327f,2022-03-02T15:44:37.858406Z,2022-03-02T15:44:38.017376Z,2022-03-02T15:44:37.856625Z,2022-03-02T15:44:38.014156Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,110,110,90.1,,market,market,buy,day,,,filled,False,,,,
35,a8986f08-76a5-408f-8e8f-b1fd084580dd,da2bfba4-91d7-4b13-bd1a-cc3dba4598d2,2022-03-02T15:44:30.742031Z,2022-03-02T15:44:30.956501Z,2022-03-02T15:44:30.740071Z,2022-03-02T15:44:30.953385Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,854.62,,market,market,buy,day,,,filled,False,,,,
36,6d178436-d86d-4c18-81f8-3075a4e43210,3cbcd0b0-a7da-4eca-85d9-f3f42dac5221,2022-03-02T15:44:26.381476Z,2022-03-02T15:44:26.454874Z,2022-03-02T15:44:26.379663Z,2022-03-02T15:44:26.452082Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,329,329,30.31,,market,market,buy,day,,,filled,False,,,,
37,bb5cefc4-8989-479b-af59-ab152318de0e,f0f269dc-07d6-41fc-8e4e-871132b0a652,2022-03-02T14:44:21.326094Z,2022-03-02T14:44:21.540811Z,2022-03-02T14:44:21.324903Z,2022-03-02T14:44:21.537359Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,108,108,92.03,,market,market,buy,day,,,filled,False,,,,
38,fbfd4e47-ef0f-406b-9c0e-a2fe6ba5ac15,95f67d36-7b48-4eae-94e0-a850dd431eb5,2022-03-02T14:44:14.320742Z,2022-03-02T14:44:14.521243Z,2022-03-02T14:44:14.319978Z,2022-03-02T14:44:14.51551Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,876.78,,market,market,sell,day,,,filled,False,,,,
39,291f0e8e-f9f4-40d7-b7e6-baa24e5a6e0d,acdd0fa1-39ad-451d-a54a-036f8626eda0,2022-03-01T20:40:24.953564Z,2022-03-01T20:40:25.177531Z,2022-03-01T20:40:24.952055Z,2022-03-01T20:40:25.174386Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,863.45,,market,market,buy,day,,,filled,False,,,,
40,dd11416e-0576-4a3c-b134-18462b7a176f,dc858f60-756c-4994-aa3c-8a1ccdd5d8c0,2022-03-01T19:40:06.560402Z,2022-03-01T19:40:06.80915Z,2022-03-01T19:40:06.559713Z,2022-03-01T19:40:06.805989Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2687.85,,market,market,sell,day,,,filled,False,,,,
41,1988db7c-7abd-4c11-85b5-3e5766e27012,06703a0e-f887-4cb1-9573-ade76c6f9cb4,2022-03-01T19:40:01.012094Z,2022-03-01T19:40:01.183227Z,2022-03-01T19:40:01.011528Z,2022-03-01T19:40:01.180918Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,865.66,,market,market,sell,day,,,filled,False,,,,
42,b8049a7e-6120-4534-ab30-47da32db33e6,67ebbb47-8639-430f-ae91-929e71c6d873,2022-03-01T19:39:54.582236Z,2022-03-01T19:39:54.720953Z,2022-03-01T19:39:54.581701Z,2022-03-01T19:39:54.714923Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,60,60,163.42,,market,market,sell,day,,,filled,False,,,,
43,6ca43573-85ce-4903-8219-b6d0dc8d4f50,a32d1a04-1670-4183-83c6-43924cb7db88,2022-03-01T18:39:49.585464Z,2022-03-01T18:39:49.870275Z,2022-03-01T18:39:49.584857Z,2022-03-01T18:39:49.867452Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,210,210,92.86,,market,market,sell,day,,,filled,False,,,,
44,b59b0e7d-8414-4cf2-b2e4-893709b9931b,1fa8ba06-13db-411a-869b-d513dcdf0cc5,2022-03-01T18:39:38.754056Z,2022-03-01T18:39:38.873038Z,2022-03-01T18:39:38.753483Z,2022-03-01T18:39:38.870119Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,633,633,31.26,,market,market,sell,day,,,filled,False,,,,
45,9cf47b67-22c6-49e2-9ce9-08eb0a93f195,c2d741dc-4269-41fe-9f7c-d7e14fdc20b2,2022-03-01T17:39:23.808763Z,2022-03-01T17:39:23.862653Z,2022-03-01T17:39:23.806855Z,2022-03-01T17:39:23.859897Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,320,320,31.23,,market,market,buy,day,,,filled,False,,,,
46,3740ab58-df20-4068-9511-507e9456f1bf,4ec76845-4e1e-4517-beb5-5ed8fbd43cc1,2022-03-01T16:39:18.768193Z,2022-03-01T16:39:19.008781Z,2022-03-01T16:39:18.766328Z,2022-03-01T16:39:19.005713Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,106,106,93.76,,market,market,buy,day,,,filled,False,,,,
47,1ec2d765-4dac-43af-9db5-133cebac9c61,46e7429c-7029-4584-9e0e-a8ac2514ff51,2022-03-01T16:39:15.328575Z,2022-03-01T16:39:15.6092Z,2022-03-01T16:39:15.326976Z,2022-03-01T16:39:15.606278Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2693.27,,market,market,buy,day,,,filled,False,,,,
48,ca57efbc-89a0-4dcf-87cf-b1303102c224,eca17c7e-4acd-4fb1-9805-427f1d530ec3,2022-03-01T16:39:10.551317Z,2022-03-01T16:39:10.79048Z,2022-03-01T16:39:10.549296Z,2022-03-01T16:39:10.787348Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,861.67,,market,market,buy,day,,,filled,False,,,,
49,f73ad3f5-4c6e-4b5e-a7c6-51fe83fb87a1,8b04273c-1b6f-4c73-9efa-28711312ee8a,2022-03-01T16:39:04.982116Z,2022-03-01T16:39:05.052852Z,2022-03-01T16:39:04.980536Z,2022-03-01T16:39:05.035585Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,313,313,31.89,,market,market,buy,day,,,filled,False,,,,
